,DATE,RIDE,ALIGHT
423,20200228,5110196.0,5098610.0
424,20200229,2849115.0,2838734.0
425,20200301,1876648.0,1868644.0
426,20200302,5055967.0,5043815.0
427,20200303,5057314.0,5044593.0
428,20200304,5039210.0,5027375.0
429,20200305,5069053.0,5057500.0
430,20200306,5260545.0,5248846.0
431,20200307,3040950.0,3030143.0
432,20200308,2140678.0,2131026.0
433,20200309,5321127.0,5307842.0
434,20200310,5066217.0,5054380.0
435,20200311,5241419.0,5229198.0
436,20200312,5145065.0,5133380.0
437,20200313,5290910.0,5279404.0
438,20200314,3164614.0,3153892.0
439,20200315,2119053.0,2109748.0
440,20200316,5213484.0,5199275.0
441,20200317,5199422.0,5186850.0
442,20200318,5361366.0,5348300.0
443,20200319,5097671.0,5085581.0
444,20200320,5572310.0,5559250.0
445,20200321,3322693.0,3310056.0
446,20200322,2315902.0,2305071.0
447,20200323,5358156.0,5344029.0
448,20200324,5377448.0,5363337.0
449,20200325,5465540.0,5451949.0
450,20200326,5322387.0,5310174.0
451,20200327,5562634.0,5549733.0
452,20200328,3390527.0,3375538.0
453,20200329,2362676.0,2351415.0
454,20200330,5426066.0,5411984.0
455,20200331,5449727.0,5436452.0
456,20200401,5463892.0,5449083.0
457,20200402,5449915.0,5436170.0
458,20200403,5680884.0,5667374.0
459,20200404,3434007.0,3420935.0
460,20200405,2370375.0,2359423.0
461,20200406,5577891.0,5563565.0
462,20200407,5606422.0,5592396.0
463,20200408,5638965.0,5624584.0
464,20200409,5628249.0,5614677.0
465,20200410,5831543.0,5818186.0
466,20200411,3591463.0,3577948.0
467,20200412,2461904.0,2449697.0
468,20200413,5696537.0,5682208.0
469,20200414,5885404.0,5872201.0
470,20200415,3156830.0,3144274.0
471,20200416,5778918.0,5764426.0
472,20200417,5750910.0,5738694.0
473,20200418,3889273.0,3873858.0
474,20200419,2486326.0,2473120.0
475,20200420,5823760.0,5808553.0
476,20200421,5947839.0,5932730.0
477,20200422,5907995.0,5892659.0
478,20200423,6014690.0,5999313.0
479,20200424,6332425.0,6318349.0
480,20200425,4102675.0,4088188.0
481,20200426,2922255.0,2907277.0
482,20200427,6133020.0,6113758.0
483,20200428,6257478.0,6236971.0
484,20200429,6551960.0,6533928.0
485,20200430,3744999.0,3729373.0
486,20200501,4091839.0,4075041.0
487,20200502,3842615.0,3824632.0
488,20200503,2987253.0,2969570.0
489,20200504,5567822.0,5551273.0
490,20200505,3298106.0,3281681.0
491,20200506,6526938.0,6508320.0
492,20200507,6606057.0,6587059.0
493,20200508,6803596.0,6781426.0
494,20200509,3831773.0,3816818.0
495,20200510,3077311.0,3061523.0
496,20200511,6399354.0,6380908.0
497,20200512,6350364.0,6332464.0
498,20200513,6412738.0,6394919.0
499,20200514,6349851.0,6331764.0
500,20200515,6260008.0,6243429.0
501,20200516,4107914.0,4091503.0
502,20200517,3047447.0,3032265.0
503,20200518,6104309.0,6085691.0
504,20200519,6165130.0,6147457.0
505,20200520,6544324.0,6521162.0
506,20200521,6511762.0,6489277.0
507,20200522,6688922.0,6667443.0
508,20200523,4533869.0,4513039.0
509,20200524,2946676.0,2929534.0
510,20200525,6457613.0,6435149.0
511,20200526,6466383.0,6447433.0
512,20200527,6613990.0,6594397.0
513,20200528,6499067.0,6481090.0
514,20200529,6688446.0,6670439.0
515,20200530,4325260.0,4307250.0
516,20200531,2993713.0,2978014.0
517,20200601,6337868.0,6319524.0
518,20200602,6203028.0,6187308.0
519,20200603,6465888.0,6447666.0
520,20200604,6444527.0,6426737.0
521,20200605,6678203.0,6660484.0
522,20200606,3971564.0,3955697.0
523,20200607,3022936.0,3006725.0
524,20200608,6326750.0,6308026.0
